鉄道会社,路線,形式,編成,編成長,メーカー,品番,備考
西武鉄道,池袋線,20000系,20104F,10,ポポンデッタ,6021,L-train
西武鉄道,池袋線,4000系,4009F,4,マイクロエース,A-7394,52席の至福/TN化(先頭JC25 x2/中間0337 x1)/スカート交換済(グリーンマックス完成品 西武新2000系スカート・ヒューズボックス大小 各1個入り(ライトグレー) x2)
西武鉄道,池袋線,40000系,40101F,10,カトー,10-1403,
西武鉄道,池袋線,40000系,40101F,10,カトー,10-1403,S-TRAIN 運行開始記念 西武鉄道40000系 10両編成セット
西武鉄道,池袋線,40000系,40102F,10,カトー,10-1400/10-1401/10-1402,基本セット/増結セットA未購入
東京メトロ,副都心線,10000系,10032F,10,カトー,10-866/10-867,ベビーカーマーク貼付け済
東京メトロ,副都心線,7000系,7127F,8,マイクロエース,A-3591,
東京メトロ,副都心線,7000系,7101F,10,トミーテック,319887,鉄コレ(加工完了)
東急電鉄,東横線,5050系,5173F,8,カトー,10-1424,
東急電鉄,東横線,5050系4000番台,4109F,10,カトー,10-1256/10-1257/10-1258,
東急電鉄,東横線,5000系,5122F,8,カトー,10-1456,青ガエル
北越急行,ほくほく線,HK100形,HK100-1/HK100-3,2,トミーテック,259213,N化鉄コレ(ライト非点灯)
JR東日本,横須賀・総武快速線,E235系1000番台,F-08/J-08,15,カトー,10-1702/10-1703/10-1704/10-1705,
JR東日本,武蔵野線,205系5000番台,M34,8,カトー,10-1498,
JR東日本,武蔵野線,209系500番台,M71,8,カトー,10-1417,
JR東日本,武蔵野線,E231系0番台,,8,トミックス,98649,
JR東日本,中央東線,E233系0番台,T24,10,トミックス,97916,
西武鉄道,池袋線,6000系50番台,6157F,10,グリーンマックス,30929/30930,
西武鉄道,池袋線,301系,1301F/269F,10,カトー,10-460,M不調
西武鉄道,池袋線,10000系,10102F,7,マイクロエース,A-1981,アンテナ交換済(Z03-0334)/パンタグラフ交換済(0249)/M不調
JR東日本,常磐線,E531系,K409,10,カトー,10-1290/10-1291/10-1292,
東京メトロ,半蔵門線,8000系,8109F,10,マイクロエース,A-3589/A-3590,
JR西日本,大阪環状線,103系,LA04,8,グリーンマックス,50595,
JR西日本,阪和線,103系,,4,グリーンマックス,NO.1063T,塗装済みキット/組み立て済み/インレタ類未貼付け/ライトユニット未組込/パンタ交換済み
JR東日本,相模線,205系500番台,R12,4,マイクロエース,A-8764,先頭TN化
東急電鉄,田園都市線,2020系,2138F,10,グリーンマックス,31562/31563,
JR西日本,播但線,103系3500番台,H2/H9,4,マイクロエース,A-0417,TN化
東京メトロ,半蔵門線,18000系,18102F,10,カトー,10-1760/10-1761,
東急電鉄,田園都市線,5000系,5103F,10,カトー,10-1457,
JR東日本,常磐線,E531系 赤電タイプ,K451,5,カトー,10-954,
東京メトロ,副都心線,17000系,17103F,10,カトー,10-1758/10-1759,
JR東日本,常磐線,E657系,K13,10,カトー,10-1639/10-1640,
東急電鉄,目黒線,3020系,3123F,8,グリーンマックス,31753,
東急電鉄,目黒線,3020系,3121F,8,グリーンマックス,50751,東急グループ創立100周年記念トレイン
相模鉄道,新横浜線,20000系,20104F,10,ポポンデッタ,6028/6029,増備車
